variable,trend,tau,p,slope_por_anno
sst,no trend,0.06666666666666667,1.0,0.017476545738020377
NDVI,no trend,-0.4666666666666667,0.2596563563704499,-0.0035911112608145723
EVI,no trend,-0.4666666666666667,0.2596563563704499,-0.00197730724169079
LST_day,no trend,-0.3333333333333333,0.4523703606773608,-0.16531951454070395
ET,no trend,-0.3333333333333333,0.7340951823194757,-9.366640726669136
precipitation,no trend,0.2,0.7071142312899612,2.9850386455187468
precip_anomaly,no trend,0.2,0.7071142312899612,2.9850386455187476
precip_extreme_days,no trend,0.06666666666666667,1.0,0.04612229059260494
t2m_anomaly,no trend,0.3333333333333333,0.4523703606773608,0.09765047093023682
NO2,no trend,0.7333333333333333,0.060289173990602185,2.0248627228646944e-07
CO,no trend,-0.06666666666666667,1.0,-3.495660968767626e-05
SO2,no trend,0.4666666666666667,0.2596563563704499,3.6084605035019367e-06
loss_anual,no trend,-0.2,0.80649594050734,-0.0014630491876492764
fire_count,no trend,0.06666666666666667,1.0,0.0005770363817025892
