k,silhouette,davies_bouldin,inertia
2,0.43381674284651855,0.9158705297154472,14755.36126526999
3,0.43090689335477905,0.8226151982007209,11015.429342380077
4,0.3575418496760004,1.0009855223107509,8554.845532998772
5,0.3525398076705608,1.0468321617519687,7256.342893642278
6,0.34152353545538855,1.0677437902955935,6436.109705385614
7,0.3038320361071297,1.1279455031257064,5886.529713500075
8,0.3018227024241108,1.1208995633845498,5391.335495207412
9,0.2952955326393509,1.1657948206364719,5021.002938692518
10,0.2951772879521426,1.1708444271506013,4742.889115440495
